Borewell_ID,Year,Month,Day,Rainfall_mm,GW_Level_m,Prev_Day_GW,Prev_7Day_GW,temperature,latitude,longitude
borewell_1,2020,1,8,1.44,8.497,8.497,8.497,31.5,13.0827,80.2707
borewell_1,2020,1,9,1.07,8.479,8.497,8.479,29.6,13.0827,80.2707
borewell_1,2020,1,10,4.66,8.501,8.479,8.501,31.9,13.0827,80.2707
borewell_1,2020,1,11,3.0,8.509,8.501,8.509,34.6,13.0827,80.2707
borewell_1,2020,1,12,1.15,8.507,8.509,8.507,29.3,13.0827,80.2707
borewell_1,2020,1,13,4.55,8.539,8.507,8.539,29.3,13.0827,80.2707
borewell_1,2020,1,14,2.62,8.554,8.539,8.554,34.7,13.0827,80.2707
borewell_1,2020,1,15,3.35,8.561,8.554,8.497,32.3,13.0827,80.2707
borewell_1,2020,1,16,1.02,8.549,8.561,8.479,28.6,13.0827,80.2707
borewell_1,2020,1,17,1.86,8.543,8.549,8.501,31.6,13.0827,80.2707
borewell_1,2020,1,18,1.83,8.551,8.543,8.509,28.6,13.0827,80.2707
borewell_1,2020,1,19,3.84,8.56,8.551,8.507,28.6,13.0827,80.2707
borewell_1,2020,1,20,2.86,8.562,8.56,8.539,30.7,13.0827,80.2707
borewell_1,2020,1,21,2.26,8.57,8.562,8.554,24.3,13.0827,80.2707
borewell_1,2020,1,22,3.29,8.59,8.57,8.561,24.8,13.0827,80.2707
borewell_1,2020,1,23,2.3,8.599,8.59,8.549,28.3,13.0827,80.2707
borewell_1,2020,1,24,2.06,8.603,8.599,8.543,27.0,13.0827,80.2707
borewell_1,2020,1,25,0.9,8.592,8.603,8.551,30.9,13.0827,80.2707
borewell_1,2020,1,26,2.11,8.594,8.592,8.56,27.3,13.0827,80.2707
borewell_1,2020,1,27,3.17,8.61,8.594,8.562,25.8,13.0827,80.2707
borewell_1,2020,1,28,2.07,8.609,8.61,8.57,34.4,13.0827,80.2707
borewell_1,2020,1,29,0.46,8.601,8.609,8.59,29.3,13.0827,80.2707
borewell_1,2020,1,30,2.62,8.611,8.601,8.599,30.2,13.0827,80.2707
borewell_1,2020,1,31,4.78,8.641,8.611,8.603,25.7,13.0827,80.2707
borewell_1,2020,2,1,0.27,8.625,8.641,8.592,28.4,13.0827,80.2707
borewell_1,2020,2,2,2.96,8.629,8.625,8.594,30.3,13.0827,80.2707
borewell_1,2020,2,3,4.82,8.663,8.629,8.61,26.5,13.0827,80.2707
borewell_1,2020,2,4,4.24,8.685,8.663,8.609,31.1,13.0827,80.2707
borewell_1,2020,2,5,4.21,8.705,8.685,8.601,28.2,13.0827,80.2707
borewell_1,2020,2,6,1.54,8.71,8.705,8.611,29.1,13.0827,80.2707
borewell_1,2020,2,7,3.71,8.725,8.71,8.641,28.2,13.0827,80.2707
borewell_1,2020,2,8,0.68,8.718,8.725,8.625,35.6,13.0827,80.2707
borewell_1,2020,2,9,1.62,8.723,8.718,8.629,30.0,13.0827,80.2707
borewell_1,2020,2,10,0.83,8.703,8.723,8.663,26.8,13.0827,80.2707
borewell_1,2020,2,11,2.24,8.696,8.703,8.685,32.5,13.0827,80.2707
borewell_1,2020,2,12,3.98,8.709,8.696,8.705,26.3,13.0827,80.2707
borewell_1,2020,2,13,2.3,8.716,8.709,8.71,30.6,13.0827,80.2707
borewell_1,2020,2,14,4.44,8.749,8.716,8.725,24.1,13.0827,80.2707
borewell_1,2020,2,15,4.0,8.765,8.749,8.718,26.0,13.0827,80.2707
borewell_1,2020,2,16,0.2,8.748,8.765,8.723,30.6,13.0827,80.2707
borewell_1,2020,2,17,1.38,8.749,8.748,8.703,32.2,13.0827,80.2707
borewell_1,2020,2,18,3.98,8.769,8.749,8.696,30.5,13.0827,80.2707
borewell_1,2020,2,19,0.74,8.766,8.769,8.709,29.7,13.0827,80.2707
borewell_1,2020,2,20,0.35,8.741,8.766,8.716,29.1,13.0827,80.2707
borewell_1,2020,2,21,4.06,8.767,8.741,8.749,25.6,13.0827,80.2707
borewell_1,2020,2,22,3.0,8.774,8.767,8.765,27.8,13.0827,80.2707
borewell_1,2020,2,23,4.11,8.798,8.774,8.748,28.6,13.0827,80.2707
borewell_1,2020,2,24,0.04,8.778,8.798,8.749,33.2,13.0827,80.2707
borewell_1,2020,2,25,2.32,8.781,8.778,8.769,31.0,13.0827,80.2707
borewell_1,2020,2,26,2.71,8.794,8.781,8.766,24.7,13.0827,80.2707
borewell_1,2020,2,27,4.14,8.806,8.794,8.741,31.0,13.0827,80.2707
borewell_1,2020,2,28,0.64,8.787,8.806,8.767,28.8,13.0827,80.2707
borewell_1,2020,2,29,3.3,8.791,8.787,8.774,28.0,13.0827,80.2707
borewell_1,2020,3,1,1.12,8.774,8.791,8.798,31.8,13.0827,80.2707
borewell_1,2020,3,2,0.85,8.761,8.774,8.778,33.1,13.0827,80.2707
borewell_1,2020,3,3,4.28,8.775,8.761,8.781,32.8,13.0827,80.2707
borewell_1,2020,3,4,2.66,8.79,8.775,8.794,27.5,13.0827,80.2707
borewell_1,2020,3,5,4.88,8.825,8.79,8.806,29.1,13.0827,80.2707
borewell_1,2020,3,6,0.85,8.823,8.825,8.787,31.0,13.0827,80.2707
borewell_1,2020,3,7,4.55,8.852,8.823,8.791,32.9,13.0827,80.2707
borewell_1,2020,3,8,2.21,8.856,8.852,8.774,28.6,13.0827,80.2707
borewell_1,2020,3,9,4.23,8.883,8.856,8.761,29.4,13.0827,80.2707
borewell_1,2020,3,10,3.32,8.89,8.883,8.775,26.7,13.0827,80.2707
borewell_1,2020,3,11,2.75,8.9,8.89,8.79,26.4,13.0827,80.2707
borewell_1,2020,3,12,0.18,8.886,8.9,8.825,32.4,13.0827,80.2707
borewell_1,2020,3,13,4.04,8.906,8.886,8.823,34.1,13.0827,80.2707
borewell_1,2020,3,14,0.04,8.893,8.906,8.852,29.8,13.0827,80.2707
borewell_1,2020,3,15,0.32,8.87,8.893,8.856,33.0,13.0827,80.2707
borewell_1,2020,3,16,0.12,8.86,8.87,8.883,31.1,13.0827,80.2707
borewell_1,2020,3,17,3.48,8.865,8.86,8.89,28.1,13.0827,80.2707
borewell_1,2020,3,18,0.67,8.846,8.865,8.9,31.1,13.0827,80.2707
borewell_1,2020,3,19,2.95,8.862,8.846,8.886,34.6,13.0827,80.2707
borewell_1,2020,3,20,4.96,8.901,8.862,8.906,29.9,13.0827,80.2707
borewell_1,2020,3,21,0.05,8.876,8.901,8.893,34.7,13.0827,80.2707
borewell_1,2020,3,22,4.63,8.898,8.876,8.87,24.0,13.0827,80.2707
borewell_1,2020,3,23,3.86,8.912,8.898,8.86,32.5,13.0827,80.2707
borewell_1,2020,3,24,3.05,8.917,8.912,8.865,30.3,13.0827,80.2707
borewell_1,2020,3,25,0.12,8.907,8.917,8.846,29.1,13.0827,80.2707
borewell_1,2020,3,26,1.39,8.903,8.907,8.862,30.3,13.0827,80.2707
borewell_1,2020,3,27,4.55,8.936,8.903,8.901,24.0,13.0827,80.2707
borewell_1,2020,3,28,3.36,8.943,8.936,8.876,29.3,13.0827,80.2707
borewell_1,2020,3,29,1.8,8.938,8.943,8.898,31.1,13.0827,80.2707
borewell_1,2020,3,30,0.91,8.931,8.938,8.912,34.4,13.0827,80.2707
borewell_1,2020,3,31,2.67,8.946,8.931,8.917,28.4,13.0827,80.2707
borewell_1,2020,4,1,3.69,8.967,8.946,8.907,27.6,13.0827,80.2707
borewell_1,2020,4,2,0.96,8.96,8.967,8.903,28.5,13.0827,80.2707
borewell_1,2020,4,3,1.89,8.954,8.96,8.936,32.7,13.0827,80.2707
borewell_1,2020,4,4,4.59,8.977,8.954,8.943,31.0,13.0827,80.2707
borewell_1,2020,4,5,0.53,8.955,8.977,8.938,28.4,13.0827,80.2707
borewell_1,2020,4,6,1.16,8.947,8.955,8.931,31.5,13.0827,80.2707
borewell_1,2020,4,7,1.38,8.949,8.947,8.946,30.3,13.0827,80.2707
borewell_1,2020,4,8,4.61,8.97,8.949,8.967,32.9,13.0827,80.2707
borewell_1,2020,4,9,3.25,8.978,8.97,8.96,27.9,13.0827,80.2707
borewell_1,2020,4,10,3.76,8.994,8.978,8.954,29.0,13.0827,80.2707
borewell_1,2020,4,11,3.72,9.006,8.994,8.977,28.8,13.0827,80.2707
borewell_1,2020,4,12,3.02,9.016,9.006,8.955,25.6,13.0827,80.2707
borewell_1,2020,4,13,3.36,9.029,9.016,8.947,30.9,13.0827,80.2707
borewell_1,2020,4,14,3.28,9.044,9.029,8.949,30.8,13.0827,80.2707
borewell_1,2020,4,15,4.87,9.082,9.044,8.97,30.0,13.0827,80.2707
borewell_1,2020,4,16,2.12,9.091,9.082,8.978,29.3,13.0827,80.2707
borewell_1,2020,4,17,0.2,9.082,9.091,8.994,25.8,13.0827,80.2707
